,nameWithOwner,createdAt,stargazerCount,forkCount,url,releases.totalCount,primaryLanguage.name,watchers.totalCount,loc_data.source_loc,loc_data.single_comments_loc,loc_data.single_docstring_loc,loc_data.double_docstring_loc,loc_data.total_comments_loc,loc_data.blank_loc,loc_data.total_line_count
106,larsyencken/wide-language-index,2014-05-12T07:53:22Z,51,13,https://github.com/larsyencken/wide-language-index,0,Python,8,,,,,,,
107,localwiki/localwiki-backend-server,2015-01-26T07:32:11Z,47,16,https://github.com/localwiki/localwiki-backend-server,0,Python,16,,,,,,,
108,jbrendel/django-randomprimary,2012-04-18T00:49:01Z,38,10,https://github.com/jbrendel/django-randomprimary,0,Python,3,,,,,,,
109,HPENetworking/pyhpecw7,2016-04-09T13:28:02Z,32,22,https://github.com/HPENetworking/pyhpecw7,0,Python,13,,,,,,,
110,hoelsner/product-database,2015-10-06T17:44:50Z,29,17,https://github.com/hoelsner/product-database,1,Python,10,,,,,,,
111,dcramer/django-compositepks,2008-11-16T23:34:10Z,28,454,https://github.com/dcramer/django-compositepks,0,Python,3,,,,,,,
112,wnyc/django-crowdsourcing,2012-12-03T21:03:41Z,25,18,https://github.com/wnyc/django-crowdsourcing,0,Python,22,,,,,,,
113,Rongpeng-Lin/PConv_in_tf,2018-08-03T14:01:41Z,24,5,https://github.com/Rongpeng-Lin/PConv_in_tf,0,Python,6,,,,,,,
114,ospaf/ospaf-primary,2014-09-04T06:49:47Z,21,15,https://github.com/ospaf/ospaf-primary,1,Python,8,,,,,,,
115,notsambeck/pandabase,2019-02-04T08:33:29Z,21,4,https://github.com/notsambeck/pandabase,3,Python,5,,,,,,,
116,LRTT/LINEREGISTER,2020-03-30T13:00:16Z,19,12,https://github.com/LRTT/LINEREGISTER,0,Python,1,,,,,,,
117,Rongpeng-Lin/pix2pixhd_Tensorflow,2018-10-21T08:10:00Z,17,9,https://github.com/Rongpeng-Lin/pix2pixhd_Tensorflow,0,Python,4,,,,,,,
118,MrNbaYoh/rpwng,2017-08-19T14:30:23Z,17,0,https://github.com/MrNbaYoh/rpwng,0,Python,2,,,,,,,
119,avito-tech/pg_reindex,2018-03-29T10:19:24Z,17,2,https://github.com/avito-tech/pg_reindex,0,Python,7,,,,,,,
120,metapub/metapub,2019-08-20T19:39:00Z,15,6,https://github.com/metapub/metapub,0,Python,2,,,,,,,
121,engineer1109/TensorFlow-R-FCN-for-primary-students,2017-12-23T09:05:08Z,13,2,https://github.com/engineer1109/TensorFlow-R-FCN-for-primary-students,1,Python,2,,,,,,,
122,mstump/cassandra_range_repair,2013-08-20T05:24:31Z,12,54,https://github.com/mstump/cassandra_range_repair,0,Python,0,,,,,,,
123,PennyHow/PyTrx,2017-05-17T08:01:03Z,12,9,https://github.com/PennyHow/PyTrx,2,Python,3,,,,,,,
124,ajxchapman/CmdRunner,2019-05-31T19:35:11Z,12,2,https://github.com/ajxchapman/CmdRunner,0,Python,2,,,,,,,
125,lunduniversity/schoolprog,2017-11-02T10:26:29Z,11,5,https://github.com/lunduniversity/schoolprog,0,Python,7,,,,,,,
126,eightysteele/Spatial-Data-Library,2011-01-27T01:56:35Z,11,1,https://github.com/eightysteele/Spatial-Data-Library,0,Python,3,,,,,,,
127,mahmoodlab/TOAD,2020-06-19T07:22:44Z,10,1,https://github.com/mahmoodlab/TOAD,0,Python,2,,,,,,,
128,tsunaminoai/baseEmoji,2017-03-05T02:39:02Z,10,1,https://github.com/tsunaminoai/baseEmoji,4,Python,2,,,,,,,
129,seberg/icsbot,2009-03-10T13:39:15Z,10,1,https://github.com/seberg/icsbot,0,Python,4,,,,,,,
130,IN-CORE/pyincore,2019-12-19T21:02:40Z,10,2,https://github.com/IN-CORE/pyincore,0,Python,7,,,,,,,
131,GroupAYECS765P/BDP-05-Large-scale-Clustering,2017-12-06T12:57:04Z,10,0,https://github.com/GroupAYECS765P/BDP-05-Large-scale-Clustering,0,Python,2,,,,,,,
